Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12930379,"De ensomme (Barbarotti, #4)",Håkan Nesser,"Nesser, Håkan",,"=""8205408300""","=""9788205408302""",0,Gyldendal Norsk Forlag AS,Hardcover,480,2011,2010,2022/08/28,2022/08/28,,,read,,,,1,0
51596016,Om udregning af rumfang I,Solvej Balle,"Balle, Solvej",,"=""8799584875""","=""9788799584871""",3.0,Pelagraf,Paperback,160,2020,2020,2022/08/19,2022/08/17,,,read,,,,1,0
21537930,Beretningen om herr Roos,Håkan Nesser,"Nesser, Håkan",,"=""8281431873""","=""9788281431874""",0,Piratforlaget,Hardcover,423,2009,2008,2022/08/17,2022/08/16,,,read,,,,1,0
6122168,En helt annen historie,Håkan Nesser,"Nesser, Håkan",,"=""8281431377""","=""9788281431379""",0,,Piratforlaget,,,2007,2022/08/14,2022/08/14,,,read,,,,1,0
39109459,Sveas son,Lena Andersson,"Andersson, Lena",,"=""9177950151""","=""9789177950158""",5.0,Bokförlaget Polaris,Hardcover,248,2018,2018,2022/08/05,2022/08/05,,,read,,,,1,0
3418936,Menneske uten hund (Barbarotti #1),Håkan Nesser,"Nesser, Håkan",Elisabeth Bjørnson,"=""8281431326""","=""9788281431324""",0,Piratforlaget,Paperback,440,2008,2006,2022/08/04,2022/08/04,,,read,,,,1,0
61752407,Koryféerna. En konspirationsroman,Lena Andersson,"Andersson, Lena",,"=""9177957539""","=""9789177957539""",3.0,Bokförlaget Polaris,Hardcover,240,2022,,2022/08/03,2022/08/02,,,read,,,,1,0
61182541,Ett fynd att dö för,Anders de la Motte,"Motte, Anders de la",Måns Nilsson,"=""9137159739""","=""9789137159737""",0,Bokförlaget Forum,Hardcover,395,2022,2022,2022/07/31,2022/07/30,,,read,,,,1,0
54700011,"Den sorgsne busschauffören från Alster (Inspector Barbarotti, #6)",Håkan Nesser,"Nesser, Håkan",,"=""9100184217""","=""9789100184216""",0,Albert Bonniers Förlag ,Audiobook,,2020,2020,2022/07/27,2022/07/28,,,read,,,,1,0
58241200,Döden går på visning,Anders de la Motte,"Motte, Anders de la",Måns Nilsson,"=""9137159712""","=""9789137159713""",0,Forum,Hardcover,344,2021,2021,2022/07/29,2022/07/29,,,read,,,,1,0
57872623,Samlede verker,Lydia Sandgren,"Sandgren, Lydia",Trude Marstein,"=""8293687436""","=""9788293687436""",4.0,Strawberry Publishing,Hardcover,709,2021,2020,2022/07/21,2022/07/18,,,read,,,,1,0
53419067,Gul bok,Zeshan Shakar,"Shakar, Zeshan",,"=""8205538212""","=""9788205538214""",4.0,Gyldendal,Hardcover,286,2020,2020,2022/07/17,2022/07/16,,,read,,,,1,0
568797,Pasenow oder die Romantik,Hermann Broch,"Broch, Hermann",,"=""3518010921""","=""9783518010921""",5.0,Suhrkamp,Hardcover,201,1978,1931,2022/07/15,2022/07/14,,,read,,,,1,0
54859577,Langs landeveien mellom Cottbus og Berlin,Erik Fosnes Hansen,"Hansen, Erik Fosnes",,"=""8202586763""","=""9788202586768""",4.0,Cappelen Damm,Hardcover,458,2020,,2022/07/14,2022/07/11,,,read,,,,1,0
50372771,Hjemsøkelse,Jenny Erpenbeck,"Erpenbeck, Jenny",,"=""8249521366""","=""9788249521364""",5.0,Oktober,Hardcover,169,2020,2008,2022/07/01,2022/06/28,,,read,,,,1,0
58877223,Kairos,Jenny Erpenbeck,"Erpenbeck, Jenny",,"=""332860085X""","=""9783328600855""",4.0,Penguin Verlag,Hardcover,379,2021,2021,2022/06/25,2022/06/16,,,read,,,,1,0
